,DAY,OFNS_DESC,COUNT
244,6, BURGLARY,1103
6,1, BURGLARY,1101
719,15, OFFENSES AGAINST PUBLIC ADMINI,1100
520,11, OFFENSES AGAINST PUBLIC ADMINI,1100
1470,31, FELONY ASSAULT,1095
1367,29, DANGEROUS WEAPONS,1090
393,9, BURGLARY,1089
419,9, OFFENSES AGAINST PUBLIC ADMINI,1086
99,3, BURGLARY,1083
1414,30, BURGLARY,1078
1107,23, OFFENSES AGAINST PUBLIC ADMINI,1066
669,14, OFFENSES AGAINST PUBLIC ADMINI,1060
1013,21, OFFENSES AGAINST PUBLIC ADMINI,1059
913,19, OFFENSES AGAINST PUBLIC ADMINI,1059
1059,22, OFFENSES AGAINST PUBLIC ADMINI,1059
1291,27, OFFENSES AGAINST PUBLIC ADMINI,1054
123,3, OFFENSES AGAINST PUBLIC ADMINI,1053
1339,28, OFFENSES AGAINST PUBLIC ADMINI,1053
471,10, OFFENSES AGAINST PUBLIC ADMINI,1048
321,7, OFFENSES AGAINST PUBLIC ADMINI,1042
76,2, OFFENSES AGAINST PUBLIC ADMINI,1041
1245,26, OFFENSES AGAINST PUBLIC ADMINI,1041
571,12, OFFENSES AGAINST PUBLIC ADMINI,1040
865,18, OFFENSES AGAINST PUBLIC ADMINI,1037
43,1, THEFT-FRAUD,1027
1200,25, OFFENSES AGAINST PUBLIC ADMINI,1019
1153,24, OFFENSES AGAINST PUBLIC ADMINI,1010
1390,29, OFFENSES AGAINST PUBLIC ADMINI,989
1495,31, ROBBERY,979
1438,30, OFFENSES AGAINST PUBLIC ADMINI,921
247,6, CRIMINAL TRESPASS,870
549,12, CRIMINAL TRESPASS,851
396,9, CRIMINAL TRESPASS,850
498,11, CRIMINAL TRESPASS,849
55,2, CRIMINAL TRESPASS,842
347,8, CRIMINAL TRESPASS,839
297,7, CRIMINAL TRESPASS,835
648,14, CRIMINAL TRESPASS,831
599,13, CRIMINAL TRESPASS,813
1052,22, GRAND LARCENY OF MOTOR VEHICLE,813
200,5, CRIMINAL TRESPASS,812
102,3, CRIMINAL TRESPASS,807
459,10, GRAND LARCENY OF MOTOR VEHICLE,805
150,4, CRIMINAL TRESPASS,793
20,1, GRAND LARCENY OF MOTOR VEHICLE,783
709,15, GRAND LARCENY OF MOTOR VEHICLE,781
610,13, GRAND LARCENY OF MOTOR VEHICLE,777
747,16, CRIMINAL TRESPASS,776
1097,23, GRAND LARCENY OF MOTOR VEHICLE,776
992,21, CRIMINAL TRESPASS,774
1145,24, GRAND LARCENY OF MOTOR VEHICLE,772
845,18, CRIMINAL TRESPASS,771
447,10, CRIMINAL TRESPASS,770
25,1, MISCELLANEOUS PENAL LAW,762
1330,28, GRAND LARCENY OF MOTOR VEHICLE,758
892,19, CRIMINAL TRESPASS,758
1282,27, GRAND LARCENY OF MOTOR VEHICLE,756
660,14, GRAND LARCENY OF MOTOR VEHICLE,752
939,20, CRIMINAL TRESPASS,751
259,6, GRAND LARCENY OF MOTOR VEHICLE,750
617,13, MISCELLANEOUS PENAL LAW,749
698,15, CRIMINAL TRESPASS,746
