,DAY,OFNS_DESC,COUNT
731,20, UNAUTHORIZED USE OF A VEHICLE,44
83,3, CRIMINAL TRESPASS,44
514,14, UNAUTHORIZED USE OF A VEHICLE,44
511,14, POSSESSION OF STOLEN PROPERTY,43
619,17, POSSESSION OF STOLEN PROPERTY,43
911,25, UNAUTHORIZED USE OF A VEHICLE,43
232,7, CRIMINAL TRESPASS,43
813,23, CRIMINAL TRESPASS,43
477,13, UNAUTHORIZED USE OF A VEHICLE,42
1093,30, UNAUTHORIZED USE OF A VEHICLE,42
338,10, CRIMINAL TRESPASS,42
491,14, FORGERY,42
149,4, UNAUTHORIZED USE OF A VEHICLE,42
401,11, UNAUTHORIZED USE OF A VEHICLE,42
767,21, UNAUTHORIZED USE OF A VEHICLE,42
779,22, FORGERY,41
121,4, CRIMINAL TRESPASS,41
1035,29, FORGERY,41
1057,29, UNAUTHORIZED USE OF A VEHICLE,41
41,2, ARSON,41
414,12, FORGERY,41
957,27, CRIMINAL TRESPASS,41
727,20, POSSESSION OF STOLEN PROPERTY,41
258,7, UNAUTHORIZED USE OF A VEHICLE,41
838,23, UNAUTHORIZED USE OF A VEHICLE,40
200,6, FORGERY,40
692,19, POSSESSION OF STOLEN PROPERTY,40
378,11, FORGERY,40
623,17, VEHICLE AND TRAFFIC LAWS,40
873,24, UNAUTHORIZED USE OF A VEHICLE,40
672,19, FORGERY,40
835,23, POSSESSION OF STOLEN PROPERTY,40
803,22, UNAUTHORIZED USE OF A VEHICLE,39
181,5, POSSESSION OF STOLEN PROPERTY,39
852,24, FORGERY,39
799,22, POSSESSION OF STOLEN PROPERTY,39
364,10, UNAUTHORIZED USE OF A VEHICLE,39
588,16, UNAUTHORIZED USE OF A VEHICLE,39
1058,29, VEHICLE AND TRAFFIC LAWS,39
259,7, VEHICLE AND TRAFFIC LAWS,39
925,26, FORGERY,39
993,28, CRIMINAL TRESPASS,39
962,27, FORGERY,38
447,13, CRIMINAL TRESPASS,38
109,3, POSSESSION OF STOLEN PROPERTY,38
708,20, FORGERY,38
998,28, FORGERY,37
330,9, UNAUTHORIZED USE OF A VEHICLE,37
437,12, UNAUTHORIZED USE OF A VEHICLE,37
433,12, POSSESSION OF STOLEN PROPERTY,37
398,11, POSSESSION OF STOLEN PROPERTY,37
