,DAY,OFNS_DESC,COUNT
243,5, DANGEROUS WEAPONS,4626
991,18, DANGEROUS WEAPONS,4584
588,11, DANGEROUS WEAPONS,4538
206,4, MISCELLANEOUS PENAL LAW,4518
530,10, DANGEROUS WEAPONS,4488
934,17, DANGEROUS WEAPONS,4480
266,5, MISCELLANEOUS PENAL LAW,4479
647,12, DANGEROUS WEAPONS,4474
706,13, DANGEROUS WEAPONS,4470
841,15, MISCELLANEOUS PENAL LAW,4468
1106,20, DANGEROUS WEAPONS,4437
358,7, DANGEROUS WEAPONS,4429
127,3, DANGEROUS WEAPONS,4419
472,9, DANGEROUS WEAPONS,4415
877,16, DANGEROUS WEAPONS,4387
552,10, MISCELLANEOUS PENAL LAW,4386
1163,21, DANGEROUS WEAPONS,4384
303,6, DANGEROUS WEAPONS,4383
322,6, MISCELLANEOUS PENAL LAW,4372
149,3, MISCELLANEOUS PENAL LAW,4370
492,9, MISCELLANEOUS PENAL LAW,4354
13,1, DANGEROUS WEAPONS,4340
783,14, MISCELLANEOUS PENAL LAW,4330
1069,19, MISCELLANEOUS PENAL LAW,4327
1048,19, DANGEROUS WEAPONS,4323
726,13, MISCELLANEOUS PENAL LAW,4320
416,8, DANGEROUS WEAPONS,4306
898,16, MISCELLANEOUS PENAL LAW,4301
185,4, DANGEROUS WEAPONS,4300
611,11, MISCELLANEOUS PENAL LAW,4291
762,14, DANGEROUS WEAPONS,4283
819,15, DANGEROUS WEAPONS,4269
91,2, MISCELLANEOUS PENAL LAW,4266
380,7, MISCELLANEOUS PENAL LAW,4250
1182,21, MISCELLANEOUS PENAL LAW,4249
955,17, MISCELLANEOUS PENAL LAW,4247
1217,22, DANGEROUS WEAPONS,4245
1012,18, MISCELLANEOUS PENAL LAW,4244
669,12, MISCELLANEOUS PENAL LAW,4242
1772,31, ROBBERY,4228
1127,20, MISCELLANEOUS PENAL LAW,4225
1294,23, MISCELLANEOUS PENAL LAW,4185
438,8, MISCELLANEOUS PENAL LAW,4163
71,2, DANGEROUS WEAPONS,4158
1583,28, MISCELLANEOUS PENAL LAW,4132
1741,31, FELONY ASSAULT,4125
1238,22, MISCELLANEOUS PENAL LAW,4092
1275,23, DANGEROUS WEAPONS,4091
1501,27, DANGEROUS WEAPONS,4085
1411,25, MISCELLANEOUS PENAL LAW,4075
1446,26, DANGEROUS WEAPONS,4062
1466,26, MISCELLANEOUS PENAL LAW,4046
1354,24, MISCELLANEOUS PENAL LAW,4045
1334,24, DANGEROUS WEAPONS,4024
1561,28, DANGEROUS WEAPONS,4017
1524,27, MISCELLANEOUS PENAL LAW,3964
1732,31, BURGLARY,3931
1391,25, DANGEROUS WEAPONS,3904
1701,30, MISCELLANEOUS PENAL LAW,3850
959,17, OFFENSES AGAINST PUBLIC ADMINI,3793
