,DAY,OFNS_DESC,COUNT
1456,29, VEHICLE AND TRAFFIC LAWS,514
423,9, FORGERY,514
655,13, THEFT-FRAUD,513
504,10, THEFT-FRAUD,512
219,5, FORGERY,512
121,3, FORGERY,509
200,4, THEFT-FRAUD,504
1256,25, THEFT-FRAUD,504
1323,27, FORGERY,504
1503,30, VEHICLE AND TRAFFIC LAWS,499
805,16, THEFT-FRAUD,498
606,12, THEFT-FRAUD,493
925,19, FORGERY,493
150,3, THEFT-FRAUD,492
70,2, FORGERY,492
675,14, FORGERY,490
1226,25, FORGERY,489
323,7, FORGERY,489
554,11, THEFT-FRAUD,488
1406,28, THEFT-FRAUD,487
17,1, FORGERY,484
171,4, FORGERY,483
1305,26, THEFT-FRAUD,482
776,16, FORGERY,481
1258,25, VEHICLE AND TRAFFIC LAWS,480
954,19, THEFT-FRAUD,479
1025,21, FORGERY,479
353,7, THEFT-FRAUD,479
1375,28, FORGERY,478
1176,24, FORGERY,477
1054,21, THEFT-FRAUD,468
402,8, THEFT-FRAUD,467
372,8, FORGERY,467
904,18, THEFT-FRAUD,463
1126,23, FORGERY,462
453,9, THEFT-FRAUD,454
1424,29, FORGERY,454
1104,22, THEFT-FRAUD,452
855,17, THEFT-FRAUD,451
1355,27, THEFT-FRAUD,449
1157,23, THEFT-FRAUD,449
1473,30, FORGERY,447
1501,30, THEFT-FRAUD,445
1535,31, OFFENSES AGAINST PUBLIC ADMINI,440
1529,31, INTOXICATED & IMPAIRED DRIVING,437
1207,24, THEFT-FRAUD,436
466,10, CRIMINAL TRESPASS,436
113,3, CRIMINAL TRESPASS,432
1453,29, THEFT-FRAUD,409
718,15, CRIMINAL TRESPASS,399
163,4, CRIMINAL TRESPASS,393
62,2, CRIMINAL TRESPASS,392
918,19, CRIMINAL TRESPASS,391
213,5, CRIMINAL TRESPASS,391
668,14, CRIMINAL TRESPASS,390
1067,22, CRIMINAL TRESPASS,390
768,16, CRIMINAL TRESPASS,389
416,9, CRIMINAL TRESPASS,388
1017,21, CRIMINAL TRESPASS,387
819,17, CRIMINAL TRESPASS,383
517,11, CRIMINAL TRESPASS,382
264,6, CRIMINAL TRESPASS,381
867,18, CRIMINAL TRESPASS,378
567,12, CRIMINAL TRESPASS,377
10,1, CRIMINAL TRESPASS,369
365,8, CRIMINAL TRESPASS,369
1269,26, CRIMINAL TRESPASS,368
1170,24, CRIMINAL TRESPASS,367
967,20, CRIMINAL TRESPASS,362
473,10, FRAUDS,358
315,7, CRIMINAL TRESPASS,355
1118,23, CRIMINAL TRESPASS,350
1368,28, CRIMINAL TRESPASS,348
620,13, CRIMINAL TRESPASS,346
975,20, FRAUDS,341
1316,27, CRIMINAL TRESPASS,341
1221,25, CRIMINAL TRESPASS,341
1418,29, CRIMINAL TRESPASS,338
1466,30, CRIMINAL TRESPASS,333
876,18, FRAUDS,331
752,15, POSSESSION OF STOLEN PROPERTY,330
1252,25, POSSESSION OF STOLEN PROPERTY,330
726,15, FRAUDS,330
272,6, FRAUDS,327
172,4, FRAUDS,320
602,12, POSSESSION OF STOLEN PROPERTY,318
