,DAY,OFNS_DESC,COUNT
1129,24, INTOXICATED & IMPAIRED DRIVING,544
128,3, OFFENSES AGAINST PUBLIC ADMINI,542
712,15, OFFENSES AGAINST PUBLIC ADMINI,542
467,10, OFFENSES AGAINST PUBLIC ADMINI,541
176,4, OFFENSES AGAINST PUBLIC ADMINI,540
1089,23, OFFENSES AGAINST PUBLIC ADMINI,540
1332,28, OFFENSES AGAINST PUBLIC ADMINI,538
275,6, OFFENSES AGAINST PUBLIC ADMINI,538
903,19, OFFENSES AGAINST PUBLIC ADMINI,537
80,2, OFFENSES AGAINST PUBLIC ADMINI,533
324,7, OFFENSES AGAINST PUBLIC ADMINI,531
1044,22, OFFENSES AGAINST PUBLIC ADMINI,531
612,13, OFFENSES AGAINST PUBLIC ADMINI,531
1186,25, OFFENSES AGAINST PUBLIC ADMINI,530
1137,24, OFFENSES AGAINST PUBLIC ADMINI,530
508,11, INTOXICATED & IMPAIRED DRIVING,530
662,14, OFFENSES AGAINST PUBLIC ADMINI,529
1287,27, OFFENSES AGAINST PUBLIC ADMINI,523
762,16, OFFENSES AGAINST PUBLIC ADMINI,518
516,11, OFFENSES AGAINST PUBLIC ADMINI,517
1371,29, INTOXICATED & IMPAIRED DRIVING,516
74,2, INTOXICATED & IMPAIRED DRIVING,513
120,3, INTOXICATED & IMPAIRED DRIVING,512
460,10, INTOXICATED & IMPAIRED DRIVING,506
566,12, OFFENSES AGAINST PUBLIC ADMINI,503
942,20, INTOXICATED & IMPAIRED DRIVING,502
996,21, OFFENSES AGAINST PUBLIC ADMINI,502
1233,26, OFFENSES AGAINST PUBLIC ADMINI,493
1380,29, OFFENSES AGAINST PUBLIC ADMINI,483
372,8, OFFENSES AGAINST PUBLIC ADMINI,480
1428,30, OFFENSES AGAINST PUBLIC ADMINI,478
550,12, FORGERY,474
1060,22, VEHICLE AND TRAFFIC LAWS,473
1324,28, INTOXICATED & IMPAIRED DRIVING,473
726,15, THEFT-FRAUD,472
51,1, VEHICLE AND TRAFFIC LAWS,464
1420,30, INTOXICATED & IMPAIRED DRIVING,464
1105,23, VEHICLE AND TRAFFIC LAWS,458
1348,28, VEHICLE AND TRAFFIC LAWS,455
